month,tntb
2017-01,8794
2017-02,8953
2017-03,10650
2017-04,10756
2017-05,9628
2017-06,7087
2017-07,7174
2017-08,6209
2017-09,5845
2017-10,6514
2017-11,7062
2017-12,6614
2018-01,7619
2018-02,7563
2018-03,8502
2018-04,8911
2018-05,9552
2018-06,9527
2018-07,9010
2018-08,8047
2018-09,7627
2018-10,8236
2018-11,8215
2018-12,8885
2019-01,9900
2019-02,10298
2019-03,10365
2019-04,9558
2019-05,9615
2019-06,8616
2019-07,9259
2019-08,8652
2019-09,8302
2019-10,8003
2019-11,8992
2019-12,9315
