Month,Total,Tamil nadu,Himachal pradesh
2017-01,144782,8794,1223
2017-02,147132,8953,1340
2017-03,176283,10650,1495
2017-04,160671,10756,1309
2017-05,161146,9628,1445
2017-06,147704,7087,1161
2017-07,144041,7174,1236
2017-08,135238,6209,1196
2017-09,130290,5845,1172
2017-10,126236,6514,953
2017-11,131882,7062,986
2017-12,129434,6614,941
2018-01,149390,7619,1340
2018-02,152115,7563,1421
2018-03,177438,8502,1648
2018-04,193910,8911,1587
2018-05,206745,9552,1760
2018-06,190635,9527,1617
2018-07,184643,9010,1476
2018-08,169819,8047,1435
2018-09,169388,7627,1115
2018-10,179346,8236,1116
2018-11,160711,8215,1068
2018-12,166612,8885,1035
2019-01,195589,9900,1464
2019-02,193136,10298,1264
2019-03,211861,10365,1696
2019-04,221091,9558,1757
2019-05,222461,9615,1758
2019-06,203090,8616,1346
2019-07,212249,9259,1672
2019-08,188267,8652,1283
2019-09,194141,8302,1298
2019-10,186176,8003,1171
2019-11,193936,8992,1566
2019-12,179231,9315,1282
