Date,Total Confirmed,Total Recovered,Total Deceased
30-Jan-20,1,0,0
31-Jan-20,1,0,0
01-Feb-20,1,0,0
02-Feb-20,2,0,0
03-Feb-20,3,0,0
04-Feb-20,3,0,0
05-Feb-20,3,0,0
06-Feb-20,3,0,0
07-Feb-20,3,0,0
08-Feb-20,3,0,0
09-Feb-20,3,0,0
10-Feb-20,3,0,0
11-Feb-20,3,0,0
12-Feb-20,3,0,0
13-Feb-20,3,1,0
14-Feb-20,3,1,0
15-Feb-20,3,1,0
16-Feb-20,3,2,0
17-Feb-20,3,2,0
18-Feb-20,3,2,0
19-Feb-20,3,2,0
20-Feb-20,3,3,0
21-Feb-20,3,3,0
22-Feb-20,3,3,0
23-Feb-20,3,3,0
24-Feb-20,3,3,0
25-Feb-20,3,3,0
26-Feb-20,3,3,0
27-Feb-20,3,3,0
28-Feb-20,3,3,0
29-Feb-20,3,3,0
01-Mar-20,3,3,0
02-Mar-20,5,3,0
03-Mar-20,6,3,0
04-Mar-20,28,3,0
05-Mar-20,30,3,0
06-Mar-20,31,3,0
07-Mar-20,34,3,0
08-Mar-20,39,3,0
09-Mar-20,48,3,0
10-Mar-20,63,4,0
11-Mar-20,71,4,0
12-Mar-20,81,4,1
13-Mar-20,91,10,1
14-Mar-20,102,10,2
15-Mar-20,112,13,2
16-Mar-20,126,14,2
17-Mar-20,146,15,3
18-Mar-20,171,15,3
19-Mar-20,198,20,4
20-Mar-20,256,23,4
21-Mar-20,334,23,4
22-Mar-20,403,23,7
23-Mar-20,497,25,9
24-Mar-20,571,40,10
25-Mar-20,657,43,11
26-Mar-20,730,50,16
27-Mar-20,883,75,19
28-Mar-20,1019,85,24
29-Mar-20,1139,102,27
30-Mar-20,1326,137,41
31-Mar-20,1635,150,47
01-Apr-20,2059,169,53
02-Apr-20,2545,191,69
03-Apr-20,3105,230,83
04-Apr-20,3684,286,96
05-Apr-20,4293,329,118
06-Apr-20,4777,394,134
07-Apr-20,5350,469,161
08-Apr-20,5915,565,181
09-Apr-20,6728,635,227
10-Apr-20,7599,786,249
11-Apr-20,8453,972,290
12-Apr-20,9211,1086,332
13-Apr-20,10454,1198,359
14-Apr-20,11485,1365,396
15-Apr-20,12371,1509,423
16-Apr-20,13432,1767,449
17-Apr-20,14354,2040,487
18-Apr-20,15725,2466,522
19-Apr-20,17305,2854,560
20-Apr-20,18544,3273,593
21-Apr-20,20081,3976,646
22-Apr-20,21373,4370,682
23-Apr-20,23040,5012,722
24-Apr-20,24448,5496,781
25-Apr-20,26283,5938,825
26-Apr-20,27890,6523,881
