month,tuberculosis
2017-01,144781
2017-02,147133
2017-03,176283
2017-04,160671
2017-05,161146
2017-06,147705
2017-07,144041
2017-08,135239
2017-09,130291
2017-10,126237
2017-11,131882
2017-12,129434
2018-01,149393
2018-02,152119
2018-03,177442
2018-04,193912
2018-05,206750
2018-06,190644
2018-07,184647
2018-08,169828
2018-09,169394
2018-10,179379
2018-11,160726
2018-12,166612
2019-01,195596
2019-02,193142
2019-03,211868
2019-04,221100
2019-05,222455
2019-06,203098
2019-07,212255
2019-08,188278
2019-09,194154
2019-10,186196
2019-11,193955
2019-12,179260
2020-01,197132
2020-02,213930
2020-03,169343
2020-04,83711
2020-05,120837
2020-06,157383
2020-07,140976
2020-08,121914
2020-09,140906
2020-10,150640
2020-11,141660
2020-12,174595
2021-01,182887
2021-02,188613
2021-03,201799
2021-04,131332
2021-05,89119
2021-06,161847
