month,tb
2017-01,144782
2017-02,147132
2017-03,176283
2017-04,160671
2017-05,161146
2017-06,147704
2017-07,144041
2017-08,135238
2017-09,130290
2017-10,126236
2017-11,131882
2017-12,129434
2018-01,149390
2018-02,152115
2018-03,177438
2018-04,193910
2018-05,206745
2018-06,190635
2018-07,184643
2018-08,169819
2018-09,169388
2018-10,179346
2018-11,160711
2018-12,166612
2019-01,195589
2019-02,193136
2019-03,211861
2019-04,221091
2019-05,222461
2019-06,203090
2019-07,212249
2019-08,188267
2019-09,194141
2019-10,186176
2019-11,193936
2019-12,179231
2020-01,197092
2020-02,213898
2020-03,169335
2020-04,83705
2020-05,120825
2020-06,157368
2020-07,140941
2020-08,121920
2020-09,140891
2020-10,150639
2020-11,141650
2020-12,176641
2021-01,183031
2021-02,188986
2021-03,202506
2021-04,132804
2021-05,90930
2021-06,170627
