Months,North East,Northern,East Zone,West Zone,South Zone
2017-01,5745,39448,23132,33288,24740
2017-02,5736,41617,23446,33291,23971
2017-03,7070,50473,29301,38721,27426
2017-04,4544,45649,24276,36578,27054
2017-05,5323,44755,26288,36244,25568
2017-06,4358,38671,24471,36617,20805
2017-07,4677,38319,27812,34573,21700
2017-08,4460,36097,24230,32823,21921
2017-09,3665,33804,22534,33610,18742
2017-10,4047,31495,21689,31233,20285
2017-11,4018,33980,22380,32862,21054
2017-12,3590,34712,20516,32429,21951
2018-01,4110,41656,20757,40690,23317
2018-02,4396,46079,23283,38450,22499
2018-03,5362,57164,27239,44445,25340
2018-04,5869,62080,28589,47778,26151
2018-05,6417,66815,30284,49015,27919
2018-06,6153,62925,27081,44030,26532
2018-07,5826,57175,27048,43130,27162
2018-08,5742,50071,25599,42325,27698
2018-09,5270,54058,27343,38802,23147
2018-10,5337,51896,26134,44481,25507
2018-11,4711,44802,23680,39616,24330
2018-12,4386,49464,22524,40826,25227
2019-01,5448,57417,27534,47585,29854
2019-02,5422,59696,27418,45142,29093
2019-03,6282,66551,30346,49569,30347
2019-04,6361,73724,32330,50847,28272
2019-05,6956,74654,32319,50875,28205
2019-06,6684,71065,28131,44536,25384
2019-07,6681,69843,30708,48394,28184
2019-08,6514,62124,28475,42349,24739
2019-09,5875,63045,27299,47376,23972
2019-10,5427,59724,25322,44728,24938
2019-11,5700,59009,27403,47135,27076
2019-12,4296,53435,25794,43099,27181
